Method,Arc Angle,Radius Error (Mean),Radius Error (Max),Predicted Radius (Mean),True Radius
fit_circle_arc,7.00,0.031032,0.145493,27.127833,27.122633
fit_circle_arc,7.28,0.030258,0.123812,26.369463,26.362077
fit_circle_arc,7.55,0.027617,0.123927,26.548002,26.541157
fit_circle_arc,7.83,0.025110,0.109805,27.030051,27.025134
fit_circle_arc,8.10,0.024030,0.103819,27.010565,27.005267
fit_circle_arc,8.38,0.022525,0.149517,27.231435,27.225821
fit_circle_arc,8.66,0.020129,0.110094,26.641555,26.638433
fit_circle_arc,8.93,0.019093,0.096644,26.488741,26.484866
fit_circle_arc,9.21,0.018237,0.090382,26.123211,26.119278
fit_circle_arc,9.48,0.017804,0.097267,27.021373,27.018297
fit_circle_arc,9.76,0.015872,0.107949,26.592318,26.589817
fit_circle_arc,10.03,0.015690,0.496599,27.183991,27.180896
fit_circle_arc,10.31,0.014407,0.100441,26.145985,26.143271
fit_circle_arc,10.59,0.014319,0.081137,26.616217,26.613078
fit_circle_arc,10.86,0.012788,0.061010,26.637461,26.635993
fit_circle_arc,11.14,0.011621,0.075955,27.258480,27.257022
fit_circle_arc,11.41,0.011802,0.083308,26.311835,26.310423
fit_circle_arc,11.69,0.011100,0.068290,26.784728,26.783977
fit_circle_arc,11.97,0.011025,0.082024,26.421856,26.420435
fit_circle_arc,12.24,0.010123,0.057962,25.901227,25.899403
fit_circle_arc,12.52,0.009691,0.049000,26.134154,26.133015
fit_circle_arc,12.79,0.009158,0.049113,26.186371,26.185617
fit_circle_arc,13.07,0.009213,0.057451,26.161720,26.159791
fit_circle_arc,13.34,0.008462,0.053277,26.509139,26.508200
fit_circle_arc,13.62,0.008157,0.060079,26.669477,26.668309
fit_circle_arc,13.90,0.007944,0.056042,26.264533,26.263328
fit_circle_arc,14.17,0.007339,0.048658,26.321726,26.321256
fit_circle_arc,14.45,0.007526,0.056464,26.839368,26.837767
fit_circle_arc,14.72,0.007319,0.059483,26.446273,26.444958
fit_circle_arc,15.00,0.006518,0.045616,27.256343,27.255208
hyper_circle_fit,7.00,0.031016,0.378685,27.600693,27.596281
hyper_circle_fit,7.28,0.030335,0.146834,26.773945,26.766830
hyper_circle_fit,7.55,0.027367,0.122288,26.965157,26.958961
hyper_circle_fit,7.83,0.024898,0.109867,27.260084,27.255740
hyper_circle_fit,8.10,0.023946,0.104362,27.324467,27.319634
hyper_circle_fit,8.38,0.022352,0.096496,27.572009,27.566783
hyper_circle_fit,8.66,0.020191,0.109303,26.872171,26.868859
hyper_circle_fit,8.93,0.019066,0.096600,26.722826,26.719126
hyper_circle_fit,9.21,0.018356,0.088790,26.379230,26.375307
hyper_circle_fit,9.48,0.017838,0.075565,26.999847,26.996445
hyper_circle_fit,9.76,0.016079,0.108357,26.723612,26.720787
hyper_circle_fit,10.03,0.016361,0.495270,27.274879,27.270823
hyper_circle_fit,10.31,0.014757,0.101349,26.346954,26.343558
hyper_circle_fit,10.59,0.014303,0.066871,26.662408,26.658905
hyper_circle_fit,10.86,0.013139,0.061262,26.681524,26.679311
hyper_circle_fit,11.14,0.011887,0.076874,27.375605,27.373737
hyper_circle_fit,11.41,0.012309,0.082861,26.438244,26.436093
hyper_circle_fit,11.69,0.011627,0.067976,26.831828,26.830165
hyper_circle_fit,11.97,0.011347,0.083369,26.444706,26.442643
hyper_circle_fit,12.24,0.010473,0.081202,25.991658,25.989323
hyper_circle_fit,12.52,0.010425,0.055563,26.158248,26.155899
hyper_circle_fit,12.79,0.009607,0.062435,26.233373,26.231888
hyper_circle_fit,13.07,0.009798,0.058160,26.162495,26.159791
hyper_circle_fit,13.34,0.008695,0.054169,26.554154,26.552669
hyper_circle_fit,13.62,0.008437,0.059774,26.692444,26.690748
hyper_circle_fit,13.90,0.008271,0.056878,26.331964,26.330166
hyper_circle_fit,14.17,0.007700,0.060699,26.413108,26.411945
hyper_circle_fit,14.45,0.007924,0.059720,26.861980,26.859761
hyper_circle_fit,14.72,0.007630,0.060347,26.470273,26.468422
hyper_circle_fit,15.00,0.006855,0.049305,27.278825,27.277160
